page,id,title,subtitle,address,city,state,type,price,sf
15,39748113,682 US-202,CE Tech Building,"Bridgewater, NJ",Bridgewater,NJ,Office,"$1,800,000","9,600"
15,39747141,910 19th St,,"Union City, NJ",Union City,NJ,Multifamily,"$850,000","2,111"
15,39743585,39-49 Tucker St,,"Trenton, NJ",Trenton,NJ,Industrial,"$3,300,000","28,000"
15,39743431,201 Claremont Ave,,"Jersey City, NJ",Jersey City,NJ,Multifamily,"$3,295,000",
15,39741326,115 Rt 46,Office Condos For Sale | Units D28 & D29/D30,"Mountain Lakes, NJ",Mountain Lakes,NJ,Office,"$219,000",
15,39740406,571-575 Martin Luther King Jr Dr,,"Jersey City, NJ",Jersey City,NJ,Retail,"$6,900,000","8,466"
15,39740309,315 Changebridge rd,,"Pine Brook, NJ",Pine Brook,NJ,Land,"$139,000",
15,39739547,919-921 W Route 130,,"Burlington, NJ",Burlington,NJ,Retail,"$2,700,000","16,200"
15,39739179,1555 Mount Ephraim Ave,,"Camden, NJ",Camden,NJ,Retail,"$375,000","3,840"
15,39739060,493 Newark ave,,"Jersey City, NJ",Jersey City,NJ,Land,"$3,750,000",
15,39738538,1985 E State Street Ext,"Jorgenson Realty, LLC Property","Trenton, NJ",Trenton,NJ,Industrial,"$750,000","3,000"
15,39738385,357 16th Ave,Mixed Use Retail and Residential Opportunity,"Irvington, NJ",Irvington,NJ,Retail,"$399,900","2,293"
15,39729018,115 US HIGHWAY Route 46 West,Executive Office Condo Bld A - Units A5/A6,"Mountain Lakes, NJ",Mountain Lakes,NJ,Office,"$449,000",
15,39728160,1 Britton Pl,Echelon Professional Center,"Voorhees, NJ",Voorhees,NJ,Office,"$195,000",
15,39728079,43 Barley Sheaf Rd,Learning Care Daycare,"Flemington, NJ",Flemington,NJ,Retail,"$1,495,000","6,000"
15,39728029,1 N Harrison St,,"East Orange, NJ",East Orange,NJ,Retail,"$1,375,000","4,945"
15,39728017,1017 Market St,,"Gloucester City, NJ",Gloucester City,NJ,Office,"$299,900","1,652"
15,39724279,990 Highway 36,Julians,"Atlantic Highlands, NJ",Atlantic Highlands,NJ,Specialty,"$1,499,000","2,562"
15,39723305,16 Industrial Ave,,"Little Ferry, NJ",Little Ferry,NJ,Industrial,"$7,500,000","37,000"
16,39715346,467 Main St,,"Orange, NJ",Orange,NJ,Retail,"$500,000","3,900"
16,39713332,33-35 Storms Ave,,"Jersey City, NJ",Jersey City,NJ,Multifamily,"$2,915,000",
16,39713315,430 Commerce Ln,"Unit E, 2,300 SF Office with Warehouse","West Berlin, NJ",West Berlin,NJ,Flex,"$350,000","2,300"
16,39712584,507 32nd St,,"Union City, NJ",Union City,NJ,Retail,"$1,600,000","5,760"
16,39706220,952 Broadway,,"Bayonne, NJ",Bayonne,NJ,Multifamily,"$2,215,000","3,750"
16,39705640,361 Kearny Ave,,"Kearny, NJ",Kearny,NJ,Retail,"$1,600,000","4,500"
16,39697318,1124 US Highway 130,Robbinsville Town Center Out lot,"Robbinsville, NJ",Robbinsville,NJ,Land,"$3,500,000",
16,39694246,2 E Passaic Ave,,"Nutley, NJ",Nutley,NJ,Retail,"$2,195,000","6,800"
16,39693033,118 W Main St,Columbia Bank,"High Bridge, NJ",High Bridge,NJ,Retail,"$599,900","1,947"
16,39688750,59 Lincoln Ave,,"Fair Lawn, NJ",Fair Lawn,NJ,Office,"$1,750,000","5,000"
16,39688467,598 Rancocas Rd,7 acres Exit 45 of I-295,"Westampton, NJ",Westampton,NJ,Land,"$3,990,000",
16,39679972,340 E Northfield Rd,,"Livingston, NJ",Livingston,NJ,Office,"$479,200",
16,39679684,260-262 Broadway,Residences at 260,"Bayonne, NJ",Bayonne,NJ,Multifamily,"$2,100,000",
16,39678410,21-25 Willoughby St,Willoughby Apartments,"Newark, NJ",Newark,NJ,Multifamily,"$2,700,000",
16,39678407,2426 Nottingham Way,,"Hamilton, NJ",Hamilton,NJ,Retail,"$695,000","2,742"
16,39678256,591 New Brunswick Ave,,"Perth Amboy, NJ",Perth Amboy,NJ,Retail,"$675,000","2,600"
16,39678112,601 Bayview Ave,Lighthouse Marina,"Barnegat Light, NJ",Barnegat Light,NJ,Land,"$13,000,000",
16,39675869,184 South Ave,,"Fanwood, NJ",Fanwood,NJ,Retail,"$1,525,000","1,661"
16,39674734,2431 Route 57 East,,"Washington, NJ",Washington,NJ,Office,"$599,900","3,600"
16,39673528,119 Watchung Ave,,"Montclair, NJ",Montclair,NJ,Retail,"$1,600,000","1,400"
16,39673377,58-60 Main St,Centennial Bldg,"Hackensack, NJ",Hackensack,NJ,Office,"$220,000",
16,39672326,300 S Black Horse Pike,,"Bellmawr, NJ",Bellmawr,NJ,Retail,"$3,250,000","2,734"
16,39672310,615 E 22nd St,,"Paterson, NJ",Paterson,NJ,Multifamily,"$879,999",
16,39667060,971 State Route 10,,"Whippany, NJ",Whippany,NJ,Retail,"$1,500,000","2,400"
16,39662606,149-167 Westwood Ave,,"Westwood, NJ",Westwood,NJ,Retail,"$1,895,000","6,758"
17,39662186,112 S Raleigh Ave,,"Atlantic City, NJ",Atlantic City,NJ,Multifamily,"$1,199,000","5,385"
17,39661999,198 Route 202,,"Flemington, NJ",Flemington,NJ,Land,"$2,700,000",
17,39661914,588 US Highway 46,,"Fairfield, NJ",Fairfield,NJ,Office,"$1,100,000","1,572"
17,39656840,80 Court St,,"Freehold, NJ",Freehold,NJ,Office,"$689,000","2,440"
17,39656455,1250 N Black Horse Pike,Zoned for Retail Cannabis / Culltivation,"Williamstown, NJ",Williamstown,NJ,Industrial,"$899,000","4,700"
17,39646363,2718-2720 Atlantic Ave,,"Atlantic City, NJ",Atlantic City,NJ,Office,"$750,000","18,845"
17,39645104,312 N White Horse Pike,,"Stratford, NJ",Stratford,NJ,Retail,"$299,000","1,874"
17,39644963,463 Bloomfield Ave,NEW TO MARKET--PREMIER LOCATION,"Caldwell, NJ",Caldwell,NJ,Retail,"$1,100,000","4,600"
17,39644073,1989 Jumping Brook Rd,Jumping Brook Office Center,"Tinton Falls, NJ",Tinton Falls,NJ,Office,"$600,000",984
17,39643808,922 State Route 33,Fully Approved 30K SQ Foot Warehouse | Office,"Monroe Township, NJ",Monroe Township,NJ,Land,"$2,800,000",
17,39640527,5 Larison Ln,,"Ringoes, NJ",Ringoes,NJ,Retail,"$2,150,000","8,025"
